,week,1st_dwn_tot,1st_dwn_pass,1st_dwn_rush,1st_dwn_pen,3rd_dwn_con,3rd_dwn_att,4th_dwn_con,4th_dwn_att,redzone_con,redzone_att,plays_tot,yrds_tot,yrds_per_play,drives_tot,time_of_poss_min,time_of_poss_sec,penalties,pen_yrds,sacks_taken,sck_yrds_lost,tol_fumble,fumble_lost,pass_comp,pass_att,tot_yrds_pass,yrds_per_pass,pass_tds,int_thrown,rush_att,tot_rush_yrds,yrds_per_rush,rush_tds,long_rush,tot_rec,rec_targets,tot_rec_yrds,yrds_per_rec,long_rec,tot_tackle,solo_tackle,tot_sck,tack_for_loss,pass_def,qb_hits,def_tds,def_ints,def_int_yrds,def_int_tds,fumble_rec,tot_kick_ret,kick_ret_yrds,yrds_per_kick,long_kick_ret,kick_ret_tds,tot_punt_ret,punt_ret_yrds,yrds_per_punt,long_punt_ret,punt_ret_tds,fg_made,fg_att,fg_perc,long_fg,xp_made,xp_att,kick_pts,1st_dwn_tot_alw,1st_dwn_pass_alw,1st_dwn_rush_alw,1st_dwn_pen_alw,3rd_dwn_con_alw,3rd_dwn_att_alw,4th_dwn_con_alw,4th_dwn_att_alw,redzone_con_alw,redzone_att_alw,plays_tot_alw,yrds_tot_alw,yrds_per_play_alw,drives_tot_alw,time_of_poss_min_alw,time_of_poss_sec_alw,penalties_alw,pen_yrds_alw,sacks_taken_alw,sck_yrds_lost_alw,tol_fumble_alw,fumble_lost_alw,pass_comp_alw,pass_att_alw,tot_yrds_pass_alw,yrds_per_pass_alw,pass_tds_alw,int_thrown_alw,rush_att_alw,tot_rush_yrds_alw,yrds_per_rush_alw,rush_tds_alw,long_rush_alw,tot_rec_alw,rec_targets_alw,tot_rec_yrds_alw,yrds_per_rec_alw,long_rec_alw,tot_tackle_alw,solo_tackle_alw,tot_sck_alw,tack_for_loss_alw,pass_def_alw,qb_hits_alw,def_tds_alw,def_ints_alw,def_int_yrds_alw,def_int_tds_alw,fumble_rec_alw,tot_kick_ret_alw,kick_ret_yrds_alw,yrds_per_kick_alw,long_kick_ret_alw,kick_ret_tds_alw,tot_punt_ret_alw,punt_ret_yrds_alw,yrds_per_punt_alw,long_punt_ret_alw,punt_ret_tds_alw,fg_made_alw,fg_att_alw,fg_perc_alw,long_fg_alw,xp_made_alw,xp_att_alw,kick_pts_alw
count,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0
mean,5.376712328767123,21.86986301369863,12.91095890410959,6.904109589041096,2.0547945205479454,5.332191780821918,12.623287671232877,0.6986301369863014,1.2636986301369864,2.143835616438356,3.4280821917808217,64.4486301369863,360.48972602739724,5.58801369863014,10.86986301369863,29.65068493150685,29.856164383561644,5.698630136986301,50.044520547945204,2.1815068493150687,14.61986301369863,1.13013698630137,0.5034246575342466,23.11986301369863,35.21232876712329,242.91095890410958,6.566438356164387,1.726027397260274,0.7773972602739726,27.054794520547944,117.57876712328768,4.290068493150682,1.0308219178082192,22.777397260273972,23.11986301369863,33.9041095890411,257.5308219178082,11.245547945205479,38.56164383561644,63.90068493150685,43.43150684931507,2.1815068493150687,5.212328767123288,4.044520547945205,5.804794520547945,0.1952054794520548,0.7773972602739726,9.462328767123287,0.0547945205479452,0.4965753424657534,1.9691780821917808,44.52054794520548,18.920205479452065,23.366438356164384,0.0136986301369863,1.4349315068493151,12.667808219178083,6.315753424657534,8.917808219178083,0.00684931506849315,1.6849315068493151,1.9691780821917808,76.14931506849317,35.40068493150685,2.4280821917808217,2.585616438356164,7.482876712328767,21.86986301369863,12.91095890410959,6.904109589041096,2.0547945205479454,5.332191780821918,12.623287671232877,0.6986301369863014,1.2636986301369864,2.143835616438356,3.4280821917808217,64.4486301369863,360.48972602739724,5.58801369863014,10.86986301369863,29.65068493150685,29.856164383561644,5.698630136986301,50.044520547945204,2.1815068493150687,14.61986301369863,1.13013698630137,0.5034246575342466,23.11986301369863,35.21232876712329,242.91095890410958,6.566438356164387,1.726027397260274,0.7773972602739726,27.054794520547944,117.57876712328768,4.290068493150682,1.0308219178082192,22.777397260273972,23.11986301369863,33.9041095890411,257.5308219178082,11.245547945205479,38.56164383561644,63.90068493150685,43.43150684931507,2.1815068493150687,5.212328767123288,4.044520547945205,5.804794520547945,0.1952054794520548,0.7773972602739726,9.462328767123287,0.0547945205479452,0.4965753424657534,1.9691780821917808,44.52054794520548,18.920205479452065,23.366438356164384,0.0136986301369863,1.4349315068493151,12.667808219178083,6.315753424657534,8.917808219178083,0.00684931506849315,1.6849315068493151,1.9691780821917808,76.14931506849317,35.40068493150685,2.4280821917808217,2.585616438356164,7.482876712328767
std,2.8864904217339027,4.900050772764704,4.023848549951215,3.134617197942947,1.4033872715404574,2.2557885807781997,2.512211853737764,0.844386053738713,1.122551103972129,1.1782083551781695,1.435305595090082,8.707982957562082,83.29034566517497,1.0710948375444866,1.61931510968966,4.574082772123022,15.92529368809012,2.3045446300903634,24.644023778935882,1.5983025112533293,12.211594512224787,1.1413123129114402,0.6960778073546338,6.119318964229701,8.298725860973823,76.43697142835524,1.744713267131058,1.2297601137584273,0.901565690272002,7.423174284123899,50.4634598965339,1.322448523907584,0.9680862950723771,15.014830105578078,6.119318964229701,8.01573089718759,74.30652412705402,2.1032328350703593,13.993357581190006,10.244790791464306,7.292049555854569,1.5983025112533296,2.4644103289727597,2.356843681806199,3.192491883307937,0.5858388636203196,0.901565690272002,18.70999380271745,0.24257558195243592,0.696077807354634,1.39552870019125,36.39129067252393,11.84623285890176,17.067260422703846,0.11643627933716956,1.2840064267298814,17.550004885134594,8.215990513485625,11.83419638650198,0.08261826616014963,1.2394069342057006,1.311753112954621,36.67423554477802,17.38883394368379,1.386594788185559,1.412827329151336,3.7033069569963555,4.900050772764704,4.023848549951215,3.134617197942947,1.4033872715404574,2.2557885807781997,2.512211853737764,0.844386053738713,1.122551103972129,1.1782083551781695,1.435305595090082,8.707982957562084,83.29034566517497,1.0710948375444866,1.61931510968966,4.574082772123022,15.92529368809012,2.3045446300903634,24.644023778935882,1.5983025112533296,12.211594512224787,1.1413123129114402,0.6960778073546338,6.119318964229701,8.298725860973823,76.43697142835524,1.744713267131058,1.2297601137584273,0.901565690272002,7.423174284123899,50.46345989653389,1.3224485239075843,0.9680862950723771,15.014830105578078,6.119318964229701,8.015730897187588,74.30652412705402,2.1032328350703593,13.993357581190006,10.244790791464306,7.292049555854569,1.5983025112533293,2.4644103289727597,2.3568436818061986,3.192491883307937,0.5858388636203196,0.901565690272002,18.70999380271745,0.24257558195243595,0.696077807354634,1.39552870019125,36.39129067252393,11.846232858901757,17.067260422703846,0.11643627933716956,1.2840064267298814,17.550004885134594,8.215990513485623,11.83419638650198,0.08261826616014963,1.2394069342057006,1.311753112954621,36.674235544778014,17.38883394368379,1.386594788185559,1.412827329151336,3.703306956996355
min,1.0,8.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,43.0,108.0,2.1,6.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,59.0,1.8,0.0,0.0,5.0,8.0,1.5,0.0,5.0,9.0,14.0,93.0,5.5,15.0,36.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,43.0,108.0,2.1,6.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,59.0,1.8,0.0,0.0,5.0,8.0,1.5,0.0,5.0,9.0,14.0,93.0,5.5,15.0,36.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,3.0,19.0,10.0,5.0,1.0,4.0,11.0,0.0,0.0,1.0,2.0,59.0,304.0,4.9,10.0,26.0,17.0,4.0,30.0,1.0,6.0,0.0,0.0,19.0,29.0,185.75,5.4,1.0,0.0,22.0,86.0,3.475,0.0,13.0,19.0,28.0,201.5,9.8,28.0,56.75,38.0,1.0,3.5,2.0,3.75,0.0,0.0,0.0,0.0,0.0,1.0,19.0,14.3,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,62.525000000000006,29.75,1.0,2.0,5.0,19.0,10.0,5.0,1.0,4.0,11.0,0.0,0.0,1.0,2.0,59.0,304.0,4.9,10.0,26.0,17.0,4.0,30.0,1.0,6.0,0.0,0.0,19.0,29.0,185.75,5.4,1.0,0.0,22.0,86.0,3.475,0.0,13.0,19.0,28.0,201.5,9.8,28.0,56.75,38.0,1.0,3.5,2.0,3.75,0.0,0.0,0.0,0.0,0.0,1.0,19.0,14.3,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,62.525000000000006,29.75,1.0,2.0,5.0
50%,5.0,22.0,12.5,6.0,2.0,5.0,13.0,0.5,1.0,2.0,3.0,64.0,363.5,5.6,11.0,30.0,30.0,6.0,46.0,2.0,12.0,1.0,0.0,23.0,35.0,242.0,6.45,2.0,1.0,26.0,112.0,4.1,1.0,18.0,23.0,34.0,259.0,10.95,36.0,65.0,43.0,2.0,5.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,39.0,19.8,23.0,0.0,1.0,7.0,5.15,7.0,0.0,1.0,2.0,100.0,41.0,2.0,3.0,7.0,22.0,12.5,6.0,2.0,5.0,13.0,0.5,1.0,2.0,3.0,64.0,363.5,5.6,11.0,30.0,30.0,6.0,46.0,2.0,12.0,1.0,0.0,23.0,35.0,242.0,6.45,2.0,1.0,26.0,112.0,4.1,1.0,18.0,23.0,34.0,259.0,10.95,36.0,65.0,43.0,2.0,5.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,39.0,19.8,23.0,0.0,1.0,7.0,5.15,7.0,0.0,1.0,2.0,100.0,41.0,2.0,3.0,7.0
75%,8.0,25.0,16.0,9.0,3.0,7.0,14.0,1.0,2.0,3.0,4.0,70.0,414.25,6.3,12.0,33.0,42.0,7.0,67.25,3.0,20.0,2.0,1.0,27.0,41.0,295.25,7.8,2.0,1.0,32.25,139.25,4.925000000000001,2.0,26.0,27.0,39.25,309.0,12.4,46.0,71.0,48.0,3.0,6.5,5.0,8.0,0.0,1.0,9.0,0.0,1.0,3.0,65.25,24.575,30.0,0.0,2.0,17.0,10.0,13.0,0.0,2.0,3.0,100.0,48.0,3.0,4.0,10.0,25.0,16.0,9.0,3.0,7.0,14.0,1.0,2.0,3.0,4.0,70.0,414.25,6.3,12.0,33.0,42.0,7.0,67.25,3.0,20.0,2.0,1.0,27.0,41.0,295.25,7.8,2.0,1.0,32.25,139.25,4.925000000000001,2.0,26.0,27.0,39.25,309.0,12.4,46.0,71.0,48.0,3.0,6.5,5.0,8.0,0.0,1.0,9.0,0.0,1.0,3.0,65.25,24.575,30.0,0.0,2.0,17.0,10.0,13.0,0.0,2.0,3.0,100.0,48.0,3.0,4.0,10.0
max,10.0,35.0,29.0,18.0,7.0,13.0,21.0,5.0,5.0,6.0,8.0,92.0,607.0,8.9,16.0,41.0,59.0,12.0,132.0,8.0,62.0,5.0,3.0,41.0,61.0,481.0,11.4,5.0,4.0,47.0,307.0,10.8,4.0,98.0,41.0,59.0,502.0,20.9,84.0,92.0,65.0,8.0,13.0,14.0,19.0,3.0,4.0,102.0,2.0,3.0,6.0,212.0,61.5,104.0,1.0,7.0,113.0,88.0,91.0,1.0,6.0,8.0,100.0,61.0,6.0,6.0,19.0,35.0,29.0,18.0,7.0,13.0,21.0,5.0,5.0,6.0,8.0,92.0,607.0,8.9,16.0,41.0,59.0,12.0,132.0,8.0,62.0,5.0,3.0,41.0,61.0,481.0,11.4,5.0,4.0,47.0,307.0,10.8,4.0,98.0,41.0,59.0,502.0,20.9,84.0,92.0,65.0,8.0,13.0,14.0,19.0,3.0,4.0,102.0,2.0,3.0,6.0,212.0,61.5,104.0,1.0,7.0,113.0,88.0,91.0,1.0,6.0,8.0,100.0,61.0,6.0,6.0,19.0
