,week,owner_team_name,owner,score,win,opp_owner_team_name,opp_owner,opp_score
60,7,Sticky Icky,T-$,127.1,0,Seattle rainier riot,Boob,182.4
61,7,Seattle rainier riot,Boob,182.4,1,Sticky Icky,T-$,127.1
62,7,Springfield Atoms,Duvi,178.5,1,Beacon Hill Posterizers,Bup,129.7
63,7,Beacon Hill Posterizers,Bup,129.7,0,Springfield Atoms,Duvi,178.5
64,7,Brookside Shokunin,Cheese,245.8,1,Bud Lathrop Drive,Farmer,113.8
65,7,Bud Lathrop Drive,Farmer,113.8,0,Brookside Shokunin,Cheese,245.8
66,7,CoMo FightinCamlToes,Doisy,149.6,0,Happy Rock Homewreckers,Blainer,154.5
67,7,Happy Rock Homewreckers,Blainer,154.5,1,CoMo FightinCamlToes,Doisy,149.6
68,7,Pixel Whippers,Sembower,131.6,0,Bench Don't Kill My Vibe,Padge,179.8
69,7,Bench Don't Kill My Vibe,Padge,179.8,1,Pixel Whippers,Sembower,131.6
